battery_id,cycle,voltage,temperature,capacity,sohdecimal,soh,rul,
B0005,1,3.53278107,32.53689092,1.861976462,1,100,167,
B0005,2,3.542967988,32.64359509,1.851862026,0.994567903,99.45679035,166,
B0005,3,3.55305613,32.52252562,1.84080783,0.988631096,98.86310959,165,
B0005,4,3.54584852,32.49208273,1.850058172,0.993599119,99.3599119,164,
B0005,5,3.544456056,32.36861158,1.849432496,0.993263091,99.32630912,163,
B0005,6,3.555518011,32.25124162,1.84113789,0.988808359,98.88083591,162,
B0005,7,3.55039174,32.36619211,1.840621408,0.988530975,98.85309755,161,
B0005,8,3.557436451,32.36748862,1.83116383,0.983451653,98.34516533,160,
B0005,9,3.553496939,32.33964837,1.839545835,0.987953324,98.79533243,159,
B0005,10,3.557887852,32.19118047,1.830019077,0.982836848,98.2836848,158,
B0005,11,3.556347544,32.06812818,1.830001571,0.982827446,98.28274463,157,
B0005,12,3.560471978,32.34766009,1.828990962,0.982284685,98.22846849,156,
B0005,13,3.560356688,32.28360689,1.819097595,0.976971317,97.69713167,155,
B0005,14,3.566431186,32.01589605,1.818805531,0.976814459,97.68144594,154,
B0005,15,3.56563495,32.00004598,1.817299293,0.976005513,97.60055135,153,
B0005,16,3.559994137,31.93459208,1.796895091,0.965047157,96.50471571,152,
B0005,17,3.558613342,31.95811723,1.817333101,0.976023671,97.60236707,151,
B0005,18,3.559118904,31.96500865,1.808416084,0.971234665,97.12346647,150,
B0005,19,3.564278369,31.87500939,1.808138168,0.971085406,97.10854061,149,
B0005,20,3.563243576,32.24684641,1.852376797,0.994844368,99.48443683,148,
B0005,21,3.559804802,32.62250011,1.862149613,1.000092993,100,147,
B0005,22,3.561487669,32.26410763,1.841547557,0.989028376,98.90283763,146,
B0005,23,3.564026339,31.94849105,1.840515964,0.988474345,98.84743454,145,
B0005,24,3.559694165,31.85540777,1.819973236,0.977441592,97.74415916,144,
B0005,25,3.557595502,31.79193254,1.840332339,0.988375727,98.83757273,143,
B0005,26,3.565914193,31.65359519,1.828725597,0.982142167,98.21421672,142,
B0005,27,3.562842776,31.56095539,1.820124478,0.977522818,97.75228182,141,
B0005,28,3.556833231,31.5655865,1.819330167,0.977096222,97.70962224,140,
B0005,29,3.568290947,31.50585068,1.808117474,0.971074292,97.10742916,139,
B0005,30,3.566946127,31.50067989,1.809389854,0.971757641,97.17576412,138,
B0005,31,3.555577852,31.9375352,1.859972232,0.998923601,99.89236009,137,
B0005,32,3.56624961,32.018959,1.833606941,0.98476376,98.47637595,136,
B0005,33,3.565151716,31.80299265,1.822825781,0.97897359,97.89735898,135,
B0005,34,3.564659069,31.39007083,1.812174814,0.973253342,97.32533417,134,
B0005,35,3.563826424,31.32256717,1.80752671,0.970757014,97.07570142,133,
B0005,36,3.557943411,31.92433445,1.807520342,0.970753594,97.07535941,132,
B0005,37,3.560662529,31.61184504,1.785686904,0.959027647,95.90276467,131,
B0005,38,3.558624379,31.4469868,1.791061005,0.961913881,96.19138813,130,
B0005,39,3.558098767,31.27596798,1.781193151,0.956614215,95.66142148,129,
B0005,40,3.555129331,31.52557286,1.775965654,0.953806716,95.38067161,128,
B0005,41,3.562407505,32.01143948,1.770784907,0.951024325,95.10243249,127,
B0005,42,3.555763764,32.25414816,1.759556355,0.944993877,94.49938769,126,
B0005,43,3.56081173,31.80684129,1.772959448,0.952192192,95.21921916,125,
B0005,44,3.557100057,31.69204479,1.765608591,0.948244313,94.82443129,124,
B0005,45,3.54916717,31.4421047,1.75985743,0.945155573,94.5155573,123,
B0005,46,3.552645245,31.29942787,1.744776071,0.937055923,93.70559227,122,
B0005,47,3.551906327,31.3054451,1.738996153,0.933951738,93.39517382,121,
B0005,48,3.564861551,34.24255324,1.79653069,0.96485145,96.48514505,120,
B0005,49,3.562942517,33.42451918,1.786078116,0.959237752,95.92377523,119,
B0005,50,3.558978564,32.65292546,1.770280153,0.95075324,95.07532395,118,
B0005,51,3.558450567,32.20140726,1.759959835,0.945210571,94.52105715,117,
B0005,52,3.552628429,31.97218979,1.744080389,0.936682297,93.66822971,116,
B0005,53,3.548858076,32.06789612,1.74462563,0.936975126,93.69751261,115,
B0005,54,3.549672607,32.41186556,1.74458746,0.936954626,93.69546262,114,
B0005,55,3.550412136,32.07523535,1.734542329,0.931559751,93.1559751,113,
B0005,56,3.549476639,31.98995106,1.718700935,0.923051913,92.30519132,112,
B0005,57,3.550633378,31.85035063,1.713442591,0.920227847,92.02278473,111,
B0005,58,3.544294911,32.17350639,1.708977153,0.917829623,91.78296225,110,
B0005,59,3.543904921,32.54849276,1.697587213,0.911712499,91.17124988,109,
B0005,60,3.539954665,32.3663968,1.691842475,0.908627209,90.86272086,108,
B0005,61,3.54404265,32.22136771,1.687799886,0.906456081,90.64560809,107,
B0005,62,3.541642662,32.09430003,1.677458771,0.900902243,90.09022433,106,
B0005,63,3.538897682,32.28920157,1.671866934,0.89789907,89.78990704,105,
B0005,64,3.542215797,32.17624463,1.671954341,0.897946014,89.79460137,104,
B0005,65,3.539248284,32.53678379,1.667179559,0.895381651,89.53816513,103,
B0005,66,3.535247083,32.41500251,1.656827637,0.889822009,88.98220094,102,
B0005,67,3.537989494,32.25788724,1.645627833,0.883807001,88.38070014,101,
B0005,68,3.530709629,32.34452189,1.646079338,0.884049488,88.40494881,100,
B0005,69,3.528938688,32.42278452,1.630000247,0.875413992,87.54139921,99,
B0005,70,3.532374724,32.40850197,1.630708909,0.875794588,87.57945883,98,
B0005,71,3.529959034,32.38433757,1.625052067,0.872756504,87.27565039,97,
B0005,72,3.52898981,32.41631606,1.614290135,0.866976661,86.69766608,96,
B0005,73,3.527988003,32.37859071,1.609489879,0.864398617,86.43986174,95,
B0005,74,3.524123492,32.4216765,1.609774994,0.864551742,86.45517422,94,
B0005,75,3.525669093,32.36449739,1.593363083,0.8557375,85.57375001,93,
B0005,76,3.523723637,32.34308994,1.588763744,0.853267362,85.3267362,92,
B0005,77,3.51991699,32.22329344,1.587878891,0.85279214,85.27921399,91,
B0005,78,3.527398722,32.74877673,1.598442718,0.858465588,85.84655879,90,
B0005,79,3.51667999,32.29996341,1.572059034,0.844295868,84.42958684,89,
B0005,80,3.515461908,31.98942006,1.567871418,0.842046852,84.2046852,88,
B0005,81,3.515868435,32.10261257,1.568030227,0.842132143,84.21321427,87,
B0005,82,3.515252201,32.60943761,1.562508995,0.839166889,83.9166889,86,
B0005,83,3.512970379,32.87487085,1.552040932,0.833544873,83.35448726,85,
B0005,84,3.513549937,32.72228574,1.55187239,0.833454354,83.34543544,84,
B0005,85,3.514176263,32.41864084,1.546432902,0.830533003,83.05330026,83,
B0005,86,3.510924066,32.26726773,1.53089202,0.822186559,82.21865593,82,
B0005,87,3.510490706,32.54976583,1.531541915,0.822535594,82.2535594,81,
B0005,88,3.51396095,32.86772312,1.525672854,0.819383534,81.93835343,80,
B0005,89,3.511665067,32.95356237,1.52576173,0.819431267,81.94312666,79,
B0005,90,3.524360573,32.74405577,1.608829112,0.864043743,86.40437431,78,
B0005,91,3.518458008,33.24446965,1.566852501,0.841499628,84.14996284,77,
B0005,92,3.515974211,33.26247319,1.551090509,0.833034434,83.30344343,76,
B0005,93,3.518496072,33.03643936,1.535406471,0.824611107,82.46111068,75,
B0005,94,3.51123429,32.87155281,1.535212259,0.824506802,82.45068025,74,
B0005,95,3.50931105,32.89257892,1.519987688,0.816330238,81.63302379,73,
B0005,96,3.511603947,32.80043973,1.514954137,0.8136269,81.36269003,72,
B0005,97,3.507014738,32.94959586,1.50959458,0.810748477,81.07484767,71,
B0005,98,3.504591121,32.96026949,1.509857481,0.810889671,81.08896713,70,
B0005,99,3.507181971,32.97614022,1.499146951,0.805137434,80.51374343,69,
B0005,100,3.506281534,33.07671102,1.488922001,0.799645985,79.96459846,68,
B0005,101,3.504895348,32.96964994,1.483434353,0.796698768,79.66987682,67,
B0005,102,3.506000018,32.96457449,1.47822877,0.793903038,79.39030384,66,
B0005,103,3.497770927,33.11183404,1.494192693,0.802476682,80.24766821,65,
B0005,104,3.508967079,33.68551572,1.499125945,0.805126153,80.51261527,64,
B0005,105,3.501609301,33.57608416,1.489123862,0.799754397,79.97543968,63,
B0005,106,3.50467684,33.43261492,1.472749638,0.790960395,79.09603951,62,
B0005,107,3.498222555,33.182673,1.456945885,0.782472773,78.24727731,61,
B0005,108,3.498567982,33.26986447,1.45720245,0.782610565,78.26105648,60,
B0005,109,3.494393369,33.54810808,1.463326758,0.785899708,78.5899708,59,
B0005,110,3.49888421,33.69551299,1.452094042,0.779867024,77.98670238,58,
B0005,111,3.500098444,33.36594189,1.441677863,0.774272872,77.42728724,57,
B0005,112,3.494655609,33.35109524,1.436499201,0.771491601,77.14916005,56,
B0005,113,3.49352371,33.57647358,1.43644221,0.771460993,77.1460993,55,
B0005,114,3.495851673,33.80191038,1.431079763,0.768581017,76.85810173,54,
B0005,115,3.496777862,33.65385947,1.425953493,0.765827884,76.58278836,53,
B0005,116,3.493160299,33.46804682,1.420454769,0.762874718,76.28747183,52,
B0005,117,3.490796421,33.32072329,1.415480349,0.760203138,76.02031382,51,
B0005,118,3.485532798,33.67203917,1.415642103,0.76029001,76.02900103,50,
B0005,119,3.492071571,33.95602226,1.410688492,0.757629606,75.76296056,49,
B0005,120,3.492241157,33.76604255,1.4364796,0.771481074,77.14810737,48,
B0005,121,3.496386553,34.01536501,1.441304769,0.774072497,77.40724967,47,
B0005,122,3.495158816,33.62657444,1.420410627,0.762851012,76.28510116,46,
B0005,123,3.491165635,33.2981117,1.41526724,0.760088685,76.00886847,45,
B0005,124,3.487164214,33.31180626,1.409481542,0.756981396,75.69813963,44,
B0005,125,3.489817472,33.18983229,1.399754515,0.751757363,75.17573633,43,
B0005,126,3.481945511,33.32302705,1.388654828,0.745796124,74.57961242,42,
B0005,127,3.484726755,33.25767354,1.389242802,0.746111903,74.61119034,41,
B0005,128,3.48523953,33.05966538,1.383485558,0.743019896,74.30198964,40,
B0005,129,3.48223481,33.07817019,1.372644521,0.737197569,73.71975687,39,
B0005,130,3.482309128,33.08146255,1.373565777,0.737692342,73.76923423,38,
B0005,131,3.478200842,33.21041393,1.373562129,0.737690383,73.76903829,37,
B0005,132,3.478511935,33.06310637,1.373035815,0.737407719,73.74077189,36,
B0005,133,3.481967528,33.5842471,1.378431982,0.740305804,74.03058045,35,
B0005,134,3.491147725,33.69028889,1.389130063,0.746051355,74.60513555,34,
B0005,135,3.481709257,33.64163206,1.367207087,0.734277321,73.42773206,33,
B0005,136,3.479712715,33.46716683,1.373037881,0.737408828,73.74088281,32,
B0005,137,3.481823831,33.07215759,1.357393933,0.729007032,72.90070315,31,
B0005,138,3.479930482,33.61015788,1.362939986,0.731985615,73.19856152,30,
